metdiv,Year,inc_1,inc_2,inc_3,inc_4
25540,1990,49400,85800,140400,364000
25580,1990,28600,49400,80600,364000
25620,1990,15600,39000,75400,364000
25700,1990,23400,44200,80600,364000
25720,1990,28600,54600,85800,364000
25740,1990,28600,54600,85800,364000
25760,1990,15600,28600,49400,364000
25780,1990,23400,44200,75400,364000
25820,1990,23400,44200,75400,364000
25840,1990,23400,49400,75400,364000
25860,1990,33800,54600,85800,364000
25880,1990,28600,54600,80600,364000
25900,1990,33800,59800,101400,364000
25940,1990,28600,59800,96200,364000
25980,1990,28600,44200,70200,364000
26020,1990,23400,49400,80600,364000
26090,1990,33800,65000,96200,364000
26140,1990,23400,44200,75400,364000
26220,1990,28600,49400,80600,364000
26260,1990,15600,33800,59800,364000
26300,1990,23400,44200,70200,364000
26340,1990,15600,33800,65000,364000
26380,1990,23400,44200,75400,364000
26420,1990,33800,65000,109200,364000
26460,1990,33800,59800,96200,364000
26500,1990,23400,49400,75400,364000
26540,1990,33800,59800,91000,364000
26580,1990,23400,44200,80600,364000
26620,1990,33800,65000,109200,364000
26660,1990,15600,44200,75400,364000
26700,1990,23400,44200,70200,364000
26740,1990,28600,49400,80600,364000
26780,1990,33800,59800,91000,364000
26820,1990,33800,59800,96200,364000
26860,1990,23400,49400,80600,364000
26900,1990,33800,65000,101400,364000
26940,1990,15600,28600,59800,364000
26960,1990,33800,59800,91000,364000
26980,1990,28600,54600,96200,364000
27020,1990,23400,49400,85800,364000
27060,1990,28600,59800,96200,364000
27100,1990,33800,59800,96200,364000
27140,1990,23400,49400,85800,364000
27160,1990,15600,39000,70200,364000
27180,1990,23400,49400,80600,364000
27220,1990,39000,59800,96200,364000
27260,1990,33800,59800,96200,364000
27300,1990,28600,54600,80600,364000
27340,1990,28600,49400,75400,364000
27380,1990,15600,39000,70200,364000
27420,1990,23400,44200,75400,364000
27460,1990,23400,49400,80600,364000
27500,1990,33800,65000,96200,364000
27540,1990,33800,59800,91000,364000
27580,1990,NA,NA,NA,NA
27600,1990,28600,54600,80600,364000
27620,1990,33800,59800,91000,364000
27660,1990,15600,39000,65000,364000
27700,1990,23400,49400,80600,364000
27740,1990,23400,44200,75400,364000
27780,1990,23400,44200,75400,364000
27860,1990,23400,44200,70200,364000
27900,1990,23400,44200,70200,364000
27920,1990,28600,44200,70200,364000
27940,1990,59800,101400,140400,364000
27980,1990,44200,80600,119600,364000
28020,1990,33800,59800,101400,364000
28060,1990,23400,49400,80600,364000
28100,1990,28600,59800,91000,364000
28140,1990,33800,65000,101400,364000
28180,1990,44200,75400,119600,364000
28260,1990,28600,49400,80600,364000
28300,1990,39000,65000,101400,364000
28340,1990,33800,59800,91000,364000
28380,1990,15600,33800,59800,364000
28420,1990,33800,65000,101400,364000
28500,1990,28600,49400,80600,364000
28540,1990,54600,91000,140400,364000
28580,1990,33800,59800,101400,364000
28620,1990,33800,54600,91000,364000
28660,1990,28600,49400,80600,364000
28700,1990,23400,49400,80600,364000
28740,1990,39000,70200,109200,364000
28780,1990,15600,44200,85800,364000
28820,1990,15600,44200,75400,364000
28860,1990,15600,33800,65000,364000
28900,1990,23400,49400,75400,364000
28940,1990,23400,49400,85800,364000
29020,1990,33800,65000,101400,364000
29060,1990,39000,65000,101400,364000
29100,1990,28600,54600,85800,364000
29180,1990,15600,44200,75400,364000
29200,1990,28600,59800,91000,364000
29260,1990,23400,44200,75400,364000
29300,1990,23400,49400,85800,364000
29340,1990,23400,49400,85800,364000
29380,1990,23400,44200,75400,364000
29404,1990,49400,85800,140400,364000
29420,1990,28600,49400,80600,364000
